city,city_id,country,utc_dt,latitude,longitude,temperature,max_temp,cloudiness,humidity,wind_speed
Coolum Beach,2170581,AU,1619410587,-26.5333,153.1,71.76,73.99,39,72,7.0
Santa Maria,3450083,BR,1619410588,-29.6842,-53.8069,53.6,53.6,0,94,2.3
Fairbanks,5861897,US,1619410588,64.8378,-147.7164,62.35,64.4,1,20,4.61
Klyuchevskiy,2021980,RU,1619410589,53.5317,119.4519,46.74,46.74,100,54,9.55
La Santisima Trinidad,3902377,BO,1619410589,-14.8333,-64.9,65.75,65.75,99,96,3.85
São Gabriel da Cachoeira,3662342,BR,1619410590,-0.1303,-67.0892,73.65,73.65,99,98,1.28
Faanui,4034551,PF,1619410590,-16.4833,-151.75,81.39,81.39,15,63,1.81
Prome,1299154,MM,1619410590,18.8167,95.2167,96.17,96.17,19,37,6.96
Narsaq,3421719,GL,1619410367,60.9167,-46.05,50.0,50.0,90,32,29.93
Gushikawa,1863495,JP,1619410591,26.3544,127.8686,77.59,78.8,20,50,11.5
Mount Gambier,2156643,AU,1619410320,-37.8333,140.7667,59.0,59.0,90,77,8.05
Yashkul',468747,RU,1619410592,46.1711,45.3435,48.7,48.7,100,64,12.86
Solnechnyy,2016307,RU,1619410592,50.7214,136.6319,51.42,51.42,69,32,4.74
Hochstadt,3272957,DE,1619410592,49.2475,8.2089,37.33,37.99,58,60,6.42
Dalbeattie,2651609,GB,1619410593,54.9328,-3.8227,39.99,39.99,61,86,4.7
Yeppoon,2142316,AU,1619410350,-23.1333,150.7333,80.6,80.6,40,36,9.22
Hengyang,1808370,CN,1619410593,26.8881,112.615,61.57,61.57,100,87,4.41
Broken Hill,2173911,AU,1619410594,-31.95,141.4333,69.8,69.8,0,37,11.5
Koslan,544084,RU,1619410594,63.4564,48.8989,39.11,39.11,100,92,3.49
Çermik,318766,TR,1619410595,38.1361,39.4493,69.8,69.8,40,30,12.66
Airai,1651810,TL,1619410392,-8.9266,125.4092,74.25,74.25,36,39,2.98
Bethel,5282297,US,1619410385,41.3712,-73.414,51.82,53.6,40,50,5.75
Namatanai,2090021,PG,1619410428,-3.6667,152.4333,83.88,83.88,100,68,4.61
Muscat,287286,OM,1619410479,23.6139,58.5922,93.2,93.2,0,43,5.75
Port-Gentil,2396518,GA,1619410596,-0.7193,8.7815,82.04,82.04,64,79,6.64
Apricena,3182958,IT,1619410596,41.7839,15.4437,48.2,48.2,0,76,3.44
Mountain Home,5601615,US,1619410597,43.133,-115.6912,46.4,46.4,90,100,2.89
Nanortalik,3421765,GL,1619410597,60.1432,-45.2371,37.27,37.27,100,93,4.56
Coquimbo,3893629,CL,1619410396,-29.9533,-71.3436,53.6,53.6,0,87,2.3
Thompson,6165406,CA,1619410598,55.7435,-97.8558,30.2,30.2,90,93,3.44
Uri,1253694,IN,1619410598,34.0833,74.0333,70.07,70.07,0,34,5.59
Hirado,1862555,JP,1619410598,33.3597,129.5531,67.59,69.8,0,30,14.97
Hastings,2647356,GB,1619410599,50.8552,0.5729,39.9,42.8,90,81,18.41
Olafsvik,3414079,IS,1619410599,64.8945,-23.7142,39.47,39.47,12,87,11.81
Lundazi,909299,ZM,1619410600,-12.2929,33.1782,60.58,60.58,41,96,5.97
Emba,609924,KZ,1619410600,48.8264,58.1442,59.18,59.18,100,53,11.36
Santa Cruz de la Sierra,3904906,BO,1619410600,-17.8,-63.1667,64.4,64.4,49,94,6.91
